Barcode	Count	Location
P08	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P08.fasta
P09	3	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P16.fasta
unmatched	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B03unmatched.fasta
total	17
Barcode	Count	Location
